predicted_class,Description,Symptoms,Causes
Apple_Apple_scab,"Apple scab is a fungal disease that affects apple trees. It is caused by the fungus Venturia inaequalis. The disease primarily affects the leaves, fruit, and twigs of apple trees, causing dark, scaly lesions to develop. These lesions can lead to defoliation and reduced fruit quality. Apple scab is more prevalent in humid and wet conditions, and its severity can vary depending on the apple cultivar and environmental factors.","Dark, scaly lesions on the leaves, fruit, and twigs of apple trees.
 Lesions may appear olive-green at first and gradually turn brown or black.
 Severely infected leaves may become distorted, curled, or deformed.
 Infected fruit can develop cork-like spots, cracks, or lesions, leading to blemishes and reduced market value.","Apple scab is primarily caused by the fungus Venturia inaequalis. The fungus survives in infected plant debris, fallen leaves, or in dormant buds during the winter. In spring, spores are released and spread to the apple tree through rain splashes or wind. The fungus infects the tree's tissues, and under favorable conditions of high humidity and temperatures around 60-75°F (15-24°C), the disease progresses and symptoms become visible.

Apple scab can also be spread through infected nursery stock, pruning tools, or by other means of mechanical transmission. Additionally, improper sanitation practices, such as leaving fallen leaves or infected plant debris in the vicinity of apple trees, can contribute to disease persistence and recurrence."
Apple_Black_rot,"Black rot is a fungal disease that affects apple trees. It is caused by the fungus Botryosphaeria obtusa. The disease primarily affects the fruit of apple trees, causing circular, black lesions to develop. These lesions can spread to the leaves and twigs, leading to fruit rot and tree decline. Black rot can significantly impact apple production and quality.","Circular, black lesions on the fruit of apple trees.
Lesions may have a distinct margin and appear sunken or depressed.
Infected fruit may become shriveled, mummified, or completely rotted.
Lesions can also occur on the leaves and twigs, leading to defoliation and dieback.","Black rot is primarily caused by the fungus Botryosphaeria obtusa. The fungus overwinters in infected fruit mummies or cankers on the tree. In spring, spores are released and spread to susceptible tissues during rain or irrigation events. Warm and humid weather conditions promote disease development. The fungus can also enter the tree through wounds or injuries, such as pruning cuts or insect feeding sites."
Apple_Cedar_apple_rust,"Cedar apple rust is a fungal disease that affects apple trees. It is caused by the fungus Gymnosporangium juniperi-virginianae. The disease requires both apple trees and Eastern red cedar trees (Juniperus virginiana) for its life cycle. Cedar apple rust primarily affects the leaves and fruit of apple trees, causing orange, gelatinous lesions to develop.","Orange, gelatinous lesions on the leaves and fruit of apple trees.
Lesions may have a spiky or horn-like appearance.
Infected leaves may exhibit curling, distortion, or premature defoliation.
Lesions on fruit can cause deformities, russeting, or cork-like spots.","Cedar apple rust is caused by the fungus Gymnosporangium juniperi-virginianae. The disease requires both apple trees and Eastern red cedar trees (Juniperus virginiana) to complete its life cycle. During wet spring conditions, spores are released from the galls on cedar trees and carried by wind to apple trees. Infection occurs when spores land on susceptible apple tissues. The disease cycle continues as the fungus produces spores on apple trees, which are then carried back to cedar trees, completing the cycle."
Apple_healthy,Represents a healthy apple tree without any disease symptoms.,"A healthy apple tree exhibits vigorous growth and has lush green leaves. The leaves are free from any discoloration, spots, or lesions. The tree produces an abundant crop of apples with no visible signs of damage or disease. The apples have a normal size, shape, and color.","The health of an apple tree is attributed to favorable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy apple trees require proper sunlight, water, and nutrient levels in the soil. Adequate spacing between trees, good air circulation, and regular pruning contribute to the overall health and vitality of apple trees."
Blueberry_healthy,Represents a healthy blueberry plant without any disease symptoms.,"A healthy blueberry plant displays vigorous growth with dense foliage. The leaves are vibrant green and show no signs of discoloration, spots, or lesions. The plant produces abundant clusters of plump blueberries that are fully ripe and free from damage or disease. The stems and branches are strong and free from any signs of wilting or decay.","The health of a blueberry plant is influenced by suitable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy blueberry plants require acidic soil, proper irrigation, and sufficient sunlight. Regular pruning, weed control, and appropriate fertilization contribute to the overall health and productivity of blueberry plants"
Cherry_(including_sour)_Powdery_mildew," Powdery mildew is a fungal disease that affects cherry trees, including sour cherry varieties. It is caused by the fungus Podosphaera clandestina. Powdery mildew appears as a white, powdery coating on the leaves, causing them to curl and deform. The disease can negatively impact fruit quality and yield.","White, powdery coating on the leaves of cherry trees.
Leaves may curl, twist, or become distorted.
Severe infections can cause defoliation, leading to reduced tree vigor.
Fruit quality may be affected, with surface blemishes or reduced size."," Powdery mildew in cherry trees is primarily caused by the fungus Podosphaera clandestina. The disease thrives in warm and humid conditions. It can overwinter on infected buds or plant debris and spread through airborne spores. The spores germinate on the cherry tree leaves and initiate infection. The disease can progress rapidly under favorable conditions, leading to the development of visible symptoms."
Cherry_(including_sour)_healthy,"Represents a healthy cherry tree, including sour cherry varieties, without any disease symptoms.","A healthy cherry plant does not exhibit any visible symptoms of diseases or abnormalities. The leaves are green and vibrant, the fruits are plump and free from blemishes, and the overall plant appears vigorous and robust.","The absence of disease symptoms in a cherry plant is primarily due to the plant being free from any pathogenic infections, pests, or environmental stresses. Proper care, including regular watering, adequate nutrition, and appropriate pest control measures, can contribute to maintaining a healthy cherry plant."
Corn_(maize)_Cercospora_Gray_leaf_spot,"Cercospora leaf spot is a fungal disease that affects corn (maize) plants. It is caused by the fungus Cercospora zeae-maydis. The disease primarily affects the leaves of the corn plant, causing small, tan to brown lesions with a yellow halo. As the disease progresses, the lesions may coalesce, leading to extensive leaf damage and reduced photosynthetic capacity.","Small, tan to brown lesions with a yellow halo on corn leaves.
Lesions may have a characteristic ""shot-hole"" appearance.
Lesions can coalesce, resulting in larger necrotic areas on the leaves.
Severe infections can lead to defoliation and reduced yield.","Cercospora leaf spot is caused by the fungus Cercospora zeae-maydis. The disease is favored by warm and humid conditions. Spores of the fungus are spread by wind and rain splash, infecting the corn leaves through natural openings or wounds. The fungus can also survive on crop residues, contributing to the disease cycle in subsequent seasons.

Managing cercospora leaf spot involves employing cultural practices such as crop rotation and residue management to reduce inoculum levels. Fungicide applications may be necessary in severe cases to prevent further disease spread."
Corn_(maize)Common_rust," Common rust is a fungal disease that affects corn (maize) plants. It is caused by the fungus Puccinia sorghi. Common rust primarily affects the leaves of the corn plant, causing small, raised, reddish-brown to orange pustules. The disease can lead to reduced photosynthetic capacity and yield losses in severe cases.","Small, raised pustules on the upper leaf surface of corn plants.
Pustules may start as reddish-brown and turn orange as spores develop.
Pustules can also occur on leaf sheaths, husks, and other above-ground plant parts.
Severe infections can lead to premature leaf senescence and reduced grain fill.","Common rust is caused by the fungus Puccinia sorghi. The disease is favored by warm and humid conditions. The fungus overwinters on alternate hosts or on crop residues and can be spread through wind-dispersed spores. Infection occurs through direct contact between the spores and corn leaves.

Managing common rust involves selecting resistant corn varieties and implementing cultural practices such as proper plant spacing and adequate fertilization to promote plant health. Fungicide applications may be considered in severe cases, especially when susceptible hybrids are planted."
Corn_(maize)_Northern_Leaf_Blight,"Northern leaf blight is a fungal disease that affects corn (maize) plants. It is caused by the fungus Exserohilum turcicum. The disease primarily affects the leaves of the corn plant, causing long, elliptical lesions that are tan to brown in color. Severe infections can lead to significant leaf damage and yield losses.","Long, elliptical lesions on corn leaves, typically tan to brown in color.
Lesions may have a ""cigar-shaped"" appearance and may expand along the leaf veins.
Lesions can coalesce, resulting in larger necrotic areas on the leaves.
Severe infections can cause premature leaf death and reduced grain fill.","Northern leaf blight is caused by the fungus Exserohilum turcicum. The disease is favored by moderate temperatures and high humidity. Spores of the fungus are spread by wind and rain splash, and infection occurs through natural openings or wounds on the leaves. The fungus can overwinter on crop residues and survive in the soil.

Managing northern leaf blight involves employing cultural practices such as crop rotation and residue management to reduce disease pressure. Planting resistant corn hybrids and timely fungicide applications may also be necessary, especially in regions with a history of the disease."
Corn_(maize)_healthy,Represents a healthy corn plant without any disease symptoms.,"A healthy corn plant exhibits vigorous growth and vibrant green leaves. The leaves are free from any discoloration, lesions, or spots. The plant has strong stems and healthy roots. The ears of the corn plant are fully developed, filled with plump kernels, and show no signs of damage or disease.","The absence of symptoms in a healthy corn plant is a result of favorable growing conditions and the plant being free from diseases, pests, and nutrient deficiencies. Healthy corn plants require adequate sunlight, water, and nutrient availability. Proper crop rotation, weed control, and pest management practices contribute to maintaining the health of corn plants."
Grape_Black_rot,"Black rot is a fungal disease that affects grapevines. It is caused by the fungus Guignardia bidwellii. Black rot primarily affects the leaves, fruit, and canes of grapevines, causing characteristic symptoms that include dark brown to black lesions with concentric rings. The disease can lead to severe fruit rot and significant yield losses.","Dark brown to black lesions with concentric rings on grape leaves, fruit, and canes.
Lesions on leaves may have a wedge-shaped appearance with yellow halos.
Infected fruit develop shriveled, black mummies that remain attached to the clusters.
Severe infections can cause defoliation and reduced vine vigor.","Black rot is caused by the fungus Guignardia bidwellii. The disease thrives in warm and humid conditions. The fungus overwinters in infected plant debris and can spread through wind-dispersed spores or rain splash. Infection occurs through natural openings or wounds on the plant tissues.

Managing black rot involves implementing cultural practices such as pruning to improve air circulation and reduce disease pressure. Fungicide applications at appropriate timings are also important for disease control, especially during critical periods of fruit development."
Grape_Esca_(Black_Measles),"Esca, also known as black measles, is a complex grapevine disease that involves multiple fungi, including Phaeomoniella chlamydospora and Phaeoacremonium spp. Esca affects the wood and foliage of grapevines, causing a range of symptoms such as leaf discoloration, trunk cankers, and wood decay. The disease can lead to reduced vine vigor and yield losses.","Leaf discoloration, including yellowing or browning of leaf veins and interveinal tissues.
Brown to black streaks or spots on the trunk and arms of the grapevine.
Wood decay, with brown discoloration and white rot in the affected tissues.
""Tiger stripes"" or dark streaks in the cross-section of pruned wood.","Esca is a complex disease caused by multiple fungi, including Phaeomoniella chlamydospora and Phaeoacremonium spp. The exact mechanisms of infection and disease development are not fully understood, but the disease is often associated with wounds or pruning cuts. The fungi can colonize the wood and foliage of grapevines, leading to the characteristic symptoms of esca.

Managing esca involves implementing preventive measures such as using certified disease-free planting material and practicing proper pruning techniques. Fungicide treatments may be used, but their efficacy is limited. Cultural practices to improve vine health, such as balanced nutrition and water management, can also help reduce disease incidence."
Grape_Leaf_blight_(Isariopsis_Leaf_Spot),"Leaf blight, also known as Isariopsis leaf spot, is a fungal disease that affects grapevines. It is caused by the fungus Isariopsis spp. Leaf blight primarily affects the leaves of grapevines, causing circular to irregular lesions with a grayish center and dark brown margins. Severe infections can lead to defoliation and reduced vine vigor.","Circular to irregular lesions on grape leaves, with a grayish center and dark brown margins.
Lesions may coalesce, resulting in larger necrotic areas on the leaves.
Infected leaves may curl, wither, and prematurely drop from the vine.
Under high humidity, grayish spore masses may be visible on the lesions.","Leaf blight is caused by the fungus Isariopsis spp. The disease development is favored by warm and humid conditions. The fungus can overwinter in infected plant debris and is spread by wind-dispersed spores. Infection occurs through natural openings or wounds on the grape leaves.

Managing leaf blight involves implementing cultural practices such as pruning to improve air circulation and reduce disease pressure. Fungicide applications at appropriate timings, especially during periods of rapid leaf growth, can help prevent severe infections and reduce disease impact."
Grape_healthy,Represents a healthy grapevine without any disease symptoms.,"A healthy grapevine exhibits vigorous growth with lush green leaves. The leaves are free from any discoloration, spots, or lesions. The vine produces abundant clusters of grapes that are fully ripe and free from damage or disease. The grapes have a normal size, shape, and color. The vine's stems and branches are strong and show no signs of wilting or decay.","The health of a grapevine is influenced by favorable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy grapevines require proper sunlight, well-drained soil, and adequate irrigation. Regular pruning, trellising, and proper vineyard management practices contribute to the overall health and productivity of grapevines"
Orange_Haunglongbing_(Citrus_greening),"Huanglongbing (HLB), also known as citrus greening, is a bacterial disease that affects citrus plants, including oranges. It is caused by the bacterium Candidatus Liberibacter asiaticus. HLB affects various parts of the citrus tree, including the leaves, fruit, and roots, causing a range of symptoms and ultimately leading to tree decline.","Yellowing and blotchy mottling on citrus leaves, typically starting on lower branches.
Misshapen, lopsided, or small-sized fruits that do not ripen properly.
Premature fruit drop and reduced yield.
Stunted growth, twig dieback, and root decline."," Huanglongbing is caused by the bacterium Candidatus Liberibacter asiaticus, which is transmitted by the Asian citrus psyllid insect. Infected psyllids spread the bacteria when they feed on the phloem sap of citrus plants. The bacteria colonize the citrus tree's vascular system, leading to nutrient deficiencies and disruption of normal physiological processes.

Managing HLB involves a multi-faceted approach, including cultural practices, insect control, and disease management. Strategies include planting disease-free citrus trees, implementing monitoring programs for psyllid control, removing and destroying infected trees, and utilizing bactericides to suppress the bacterial populations. Additionally, ongoing research aims to develop resistant citrus varieties to combat the disease."
Peach_Bacterial_spot," Bacterial spot is a bacterial disease that affects peach and other stone fruit trees. It is caused by the bacterium Xanthomonas arboricola pv. pruni. Bacterial spot primarily affects the leaves, fruit, and twigs of peach trees, causing characteristic dark brown to black lesions with a water-soaked appearance. The disease can lead to significant fruit rot and defoliation.","Dark brown to black lesions with a water-soaked appearance on peach leaves, fruit, and twigs.
Lesions may have a target-like appearance with concentric rings.
Infected fruit develop sunken, dark-colored lesions that can expand and lead to fruit rot.
Severe infections can cause defoliation and reduced yield."," Bacterial spot is caused by the bacterium Xanthomonas arboricola pv. pruni. The disease development is favored by warm and wet conditions. The bacterium can overwinter on infected plant debris and can be spread by rain splash, wind, or insect vectors. Infection occurs through natural openings or wounds on the peach tree.

Managing bacterial spot involves implementing cultural practices such as pruning to improve air circulation and reduce disease pressure. Copper-based sprays are commonly used to suppress the bacterial population, and applications are timed to coincide with periods of high disease pressure, such as before rainfall events."
Peach_healthy,Represents a healthy peach tree without any disease symptoms.,"A healthy peach tree exhibits vigorous growth with dense foliage. The leaves are vibrant green and show no signs of discoloration, spots, or lesions. The tree produces abundant fruits that are fully ripe, juicy, and free from damage or disease. The peaches have a normal size, shape, and color. The tree's branches and trunk are strong and show no signs of wilting or decay.","The health of a peach tree is influenced by suitable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy peach trees require proper sunlight, well-drained soil, and regular irrigation. Adequate spacing between trees, good air circulation, and appropriate pruning contribute to the overall health and productivity of peach trees."
Pepper_bell_Bacterial_spot,"Bacterial spot is a bacterial disease that affects pepper (bell) plants. It is caused by the bacterium Xanthomonas euvesicatoria. Bacterial spot primarily affects the leaves, fruit, and stems of pepper plants, causing characteristic dark, water-soaked lesions that may develop into necrotic areas. Severe infections can lead to defoliation and reduced yield.","Dark, water-soaked lesions on pepper leaves, fruit, and stems.
Lesions may enlarge and become necrotic, leading to tissue collapse.
Infected fruit develop raised, corky lesions that can render them unmarketable.
Severe infections can cause defoliation and reduced plant vigor.","Bacterial spot is caused by the bacterium Xanthomonas euvesicatoria. The disease development is favored by warm and wet conditions. The bacterium can overwinter in infected plant debris and can be spread by wind, rain, or contaminated tools. Infection occurs through natural openings or wounds on the pepper plant.

Managing bacterial spot in peppers involves implementing cultural practices such as crop rotation and residue management to reduce disease pressure. Copper-based sprays are commonly used to suppress the bacterial population, and applications are timed to coincide with periods of high disease pressure, such as before rainfall events. Additionally, planting resistant pepper varieties can be an effective strategy for disease control."
