predicted_class,Description,Symptoms,Causes
"Pepper,_bell_healthy",Represents a healthy bell pepper plant without any disease symptoms.,"A healthy bell pepper plant displays vigorous growth with lush green foliage. The leaves are free from any discoloration, spots, or lesions. The plant produces abundant bell peppers that are fully ripe and free from damage or disease. The peppers have a normal size, shape, and color. The stems and branches are strong and show no signs of wilting or decay.","The health of a bell pepper plant is influenced by favorable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy bell pepper plants require proper sunlight, well-drained soil, and regular watering. Adequate spacing, good air circulation, and proper nutrient levels in the soil contribute to the overall health and productivity of bell pepper plants."
Potato_Early_blight,"Early blight is a fungal disease that affects potato plants. It is caused by the fungus Alternaria solani. Early blight primarily affects the leaves of potato plants, causing dark, target-like lesions with concentric rings. The disease can progress to affect the stems, petioles, and tubers, leading to reduced yield and quality.","Dark, target-like lesions with concentric rings on potato leaves.
Lesions may have a bullseye appearance and can expand to cover large areas of the leaf.
Infected stems and petioles may develop dark, sunken lesions.
Tubers can develop shallow, sunken lesions that may rot during storage.","Early blight is caused by the fungus Alternaria solani. The disease development is favored by warm and humid conditions. The fungus can overwinter in infected plant debris and can be spread by wind, rain, or contaminated tools. Infection occurs through natural openings or wounds on the potato plant.

Managing early blight involves implementing cultural practices such as crop rotation, sanitation, and timely planting to reduce disease pressure. Fungicide applications may be necessary, especially during periods of high disease pressure. Regular scouting and removal of infected plant material can help prevent disease spread."
Potato_Late_blight,"Late blight is a devastating fungal disease that affects potato plants. It is caused by the oomycete pathogen Phytophthora infestans. Late blight can rapidly spread and cause significant damage to foliage, stems, and tubers, leading to crop loss.","Dark, water-soaked lesions on potato leaves that rapidly expand and turn brown.
Lesions may have a fuzzy or greasy appearance and can cover large areas of the leaf.
White, cottony growth may be visible on the underside of infected leaves during moist conditions.
Infected stems and tubers may develop dark, firm lesions that can rot.","Late blight is caused by the oomycete pathogen Phytophthora infestans. The disease development is favored by cool and moist conditions. The pathogen can survive in infected plant debris and can be spread by wind-dispersed spores. Infection occurs through natural openings or wounds on the potato plant.

Managing late blight requires an integrated approach, including cultural practices and fungicide applications. Strategies include crop rotation, early detection and removal of infected plants, and regular monitoring for disease development. Fungicides with specific modes of action should be used in a preventive manner to manage the disease and minimize the risk of developing resistance."
Potato_healthy,Represents a healthy potato plant without any disease symptoms.,"Healthy potato plants display vigorous growth with lush green foliage. The leaves are free from any discoloration, spots, or lesions. The plants produce healthy and well-developed potato tubers. The tubers have a normal size, shape, and color, without any signs of damage or disease. The stems and foliage are strong and show no signs of wilting or decay.","The health of potato plants is influenced by suitable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy potato plants require well-drained soil, proper irrigation, and adequate spacing. Regular removal of weeds, proper crop rotation, and balanced fertilization contribute to the overall health and productivity of potato plants."
Raspberry_healthy,Represents a healthy raspberry plant without any disease symptoms.,"Healthy raspberry plants display vigorous growth with dense and healthy foliage. The leaves are vibrant green and show no signs of discoloration, spots, or lesions. The plants produce abundant clusters of ripe raspberries that are free from damage or disease. The raspberries have a normal size, shape, and color. The stems and branches are strong and show no signs of wilting or decay.","The health of raspberry plants is influenced by favorable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy raspberry plants require well-drained soil, proper irrigation, and sufficient sunlight. Regular pruning, weed control, and appropriate fertilization contribute to the overall health and productivity of raspberry plants."
Soybean_healthy,Represents a healthy soybean plant without any disease symptoms.,"Healthy soybean plants display vigorous growth with dense foliage. The leaves are lush green and show no signs of discoloration, spots, or lesions. The plants produce abundant and healthy soybean pods that are fully developed and free from damage or disease. The stems and branches are strong and show no signs of wilting or decay.","The health of soybean plants is influenced by suitable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy soybean plants require proper sunlight, well-drained soil, and regular watering. Adequate spacing, proper crop rotation, and appropriate fertilization contribute to the overall health and productivity of soybean plants."
Squash_Powdery_mildew,"Powdery mildew is a fungal disease that affects various squash plants, including zucchini, pumpkins, and cucumbers. It is caused by different species of the fungi Podosphaera and Erysiphe. Powdery mildew appears as a white, powdery coating on the leaves, stems, and fruits of squash plants.","White, powdery coating on the upper surface of squash leaves, stems, and fruits.
Infected leaves may become distorted, stunted, or curl upward.
Severe infections can cause yellowing, wilting, and premature defoliation.
Fruits may develop sunken, discolored areas and have a reduced quality.","Powdery mildew is caused by various species of the fungi Podosphaera and Erysiphe. The disease development is favored by warm and dry conditions. The fungi can survive in plant debris and can be spread by wind-dispersed spores. Infection occurs when spores land on susceptible plant surfaces.

Managing powdery mildew involves implementing cultural practices such as maintaining adequate spacing between plants, providing good air circulation, and avoiding overhead irrigation. Fungicide applications may be necessary, particularly during periods of favorable conditions for disease development. Regular monitoring and early intervention are key to controlling powdery mildew."
Strawberry_Leaf_scorch," Leaf scorch, also known as angular leaf spot, is a bacterial disease that affects strawberry plants. It is caused by the bacterium Xanthomonas fragariae. Leaf scorch primarily affects the leaves of strawberry plants, causing angular, water-soaked lesions that can turn brown or black. The disease can lead to defoliation and reduced fruit quality.","Angular, water-soaked lesions on strawberry leaves.
Lesions may turn brown or black and can have a translucent border.
Infected areas may dry out, giving the leaf a scorched appearance.
Severe infections can cause defoliation and reduced fruit production."," Leaf scorch is caused by the bacterium Xanthomonas fragariae. The disease development is favored by warm and wet conditions. The bacterium can overwinter in infected plant debris and can be spread by rain splash, wind, or contaminated tools. Infection occurs through natural openings or wounds on the strawberry plant.

Managing leaf scorch involves implementing cultural practices such as crop rotation and removal of infected plant material. Copper-based sprays can be used to suppress the bacterial population, and applications are timed to coincide with periods of high disease pressure. Planting resistant strawberry varieties can also help mitigate the impact of leaf scorch."
Strawberry_healthy,Represents a healthy strawberry plant without any disease symptoms.,"Healthy strawberry plants display vigorous growth with dense foliage. The leaves are vibrant green and show no signs of discoloration, spots, or lesions. The plants produce abundant and well-formed strawberries that are fully ripe and free from damage or disease. The strawberries have a normal size, shape, and color. The stems and runners are strong and show no signs of wilting or decay.","The health of strawberry plants is influenced by favorable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy strawberry plants require well-drained soil, proper irrigation, and sufficient sunlight. Regular removal of weeds, adequate spacing, and appropriate fertilization contribute to the overall health and productivity of strawberry plants."
Tomato_Bacterial_spot,"Bacterial spot is a bacterial disease that affects tomato plants. It is caused by several species of the bacterium Xanthomonas. Bacterial spot primarily affects the leaves, fruit, and stems of tomato plants, causing dark, water-soaked lesions that may develop into necrotic areas. Severe infections can lead to defoliation and reduced yield.","Dark, water-soaked lesions on tomato leaves, fruit, and stems.
Lesions may enlarge and become necrotic, leading to tissue collapse.
Infected fruit develop raised, corky lesions that can render them unmarketable.
Severe infections can cause defoliation and reduced plant vigor.
","Bacterial spot is caused by several species of the bacterium Xanthomonas. The disease development is favored by warm and wet conditions. The bacteria can overwinter in infected plant debris and can be spread by wind, rain, or contaminated tools. Infection occurs through natural openings or wounds on the tomato plant.

Managing bacterial spot in tomatoes involves implementing cultural practices such as crop rotation, sanitation, and timely planting to reduce disease pressure. Copper-based sprays are commonly used to suppress the bacterial population, and applications are timed to coincide with periods of high disease pressure. Planting resistant tomato varieties can also help in disease management."
Tomato_Early_blight,"Early blight is a fungal disease that affects tomato plants. It is caused by the fungus Alternaria solani. Early blight primarily affects the leaves of tomato plants, causing dark, target-like lesions with concentric rings. The disease can progress to affect the stems, petioles, and fruits, leading to reduced yield and quality.","Dark, target-like lesions with concentric rings on tomato leaves.
Lesions may have a bullseye appearance and can expand to cover large areas of the leaf.
Infected stems and petioles may develop dark, sunken lesions.
Fruits can develop dark, sunken lesions with concentric rings.","Early blight is caused by the fungus Alternaria solani. The disease development is favored by warm and humid conditions. The fungus can overwinter in infected plant debris and can be spread by wind, rain, or contaminated tools. Infection occurs through natural openings or wounds on the tomato plant.

Managing early blight in tomatoes involves implementing cultural practices such as crop rotation, sanitation, and proper plant spacing. Fungicide applications may be necessary, especially during periods of high disease pressure. Regular pruning of affected plant parts and removal of infected debris can help prevent disease spread."
Tomato_Late_blight,"Late blight is a devastating fungal disease that affects tomato plants. It is caused by the oomycete pathogen Phytophthora infestans. Late blight can rapidly spread and cause significant damage to foliage, stems, and fruits, leading to crop loss.","Dark, water-soaked lesions on tomato leaves, often starting at the edges.
Lesions may rapidly expand, turning brown or black and becoming necrotic.
A white, fuzzy growth may develop on the underside of infected leaves during moist conditions.
Infected fruits develop dark, firm lesions that can rot.","Late blight is caused by the oomycete pathogen Phytophthora infestans. The disease development is favored by cool and moist conditions. The pathogen can survive in infected plant debris and can be spread by wind-dispersed spores. Infection occurs through natural openings or wounds on the tomato plant.

Managing late blight in tomatoes requires an integrated approach, including cultural practices and fungicide applications. Strategies include crop rotation, early detection and removal of infected plants, and regular monitoring for disease development. Fungicides with specific modes of action should be used in a preventive manner to manage the disease and minimize the risk of developing resistance."
Tomato_Leaf_Mold,"Leaf mold is a fungal disease that affects tomato plants. It is caused by the fungus Fulvia fulva (formerly known as Cladosporium fulvum). Leaf mold primarily affects the leaves of tomato plants, causing yellowing, curling, and distinctive mold growth on the lower leaf surface.","Yellowing and curling of tomato leaves, primarily affecting the lower leaves.
Distinctive mold growth on the lower leaf surface, appearing as a dense, olive-green or brownish layer.
Infected leaves may become twisted or distorted.
Unlike other tomato diseases, leaf mold does not usually cause significant blemishes on fruits.","Leaf mold is caused by the fungus Fulvia fulva. The disease development is favored by warm and humid conditions. The fungus can survive in infected plant debris and can be spread by wind-dispersed spores. Infection occurs through natural openings or wounds on the tomato plant.

Managing leaf mold in tomatoes involves implementing cultural practices such as proper plant spacing, good air circulation, and avoiding overhead irrigation. Fungicide applications may be necessary, particularly during periods of high disease pressure. Regular monitoring and removal of infected leaves can help prevent disease spread."
Tomato_Septoria_leaf_spot,"Septoria leaf spot is a fungal disease that affects tomato plants. It is caused by the fungus Septoria lycopersici. Septoria leaf spot primarily affects the leaves of tomato plants, causing small, dark lesions with light centers. The disease can progress to affect multiple leaves, leading to defoliation and reduced yield.","Small, dark lesions with light centers on tomato leaves.
Lesions may have a concentric ring pattern and can cover the entire leaf surface.
Infected leaves may yellow, wither, and eventually drop prematurely.
Fruits are typically not affected by septoria leaf spot."," Septoria leaf spot is caused by the fungus Septoria lycopersici. The disease development is favored by warm and humid conditions. The fungus can survive in infected plant debris and can be spread by rain splash or wind-dispersed spores. Infection occurs through natural openings or wounds on the tomato plant.

Managing septoria leaf spot in tomatoes involves implementing cultural practices such as crop rotation, sanitation, and proper plant spacing. Fungicide applications may be necessary, especially during periods of high disease pressure. Regular pruning of affected plant parts and removal of infected debris can help prevent disease spread."
Tomato_spider_mites Two-spotted_spider_mite,"Spider mites are small arachnids that can infest tomato plants. The two-spotted spider mite (Tetranychus urticae) is a common species that feeds on tomato foliage, causing damage and reducing plant vigor. Spider mites are tiny and may not be easily visible to the naked eye.","Fine stippling or speckling on tomato leaves, caused by the mites piercing and sucking plant cells.
Leaves may turn yellow, bronze, or become stippled and have a silvery appearance.
Severe infestations can cause webbing on the undersides of leaves and defoliation.
Presence of tiny, moving dots on the undersides of leaves (spider mites themselves).","Spider mites, including the two-spotted spider mite, can infest tomato plants under dry and hot conditions. They feed on the plant sap, piercing the cells with their mouthparts and sucking out the contents. Spider mites can multiply rapidly, leading to infestations.

Managing spider mites in tomatoes involves implementing cultural practices such as maintaining adequate plant moisture, providing good air circulation, and regular monitoring for mite presence. Natural enemies like predatory mites can be introduced for biological control. In severe infestations, insecticidal soaps or miticides may be necessary."
Tomato_Target_Spot,"Target spot is a fungal disease that affects tomato plants. It is caused by the fungus Corynespora cassiicola. Target spot primarily affects the leaves of tomato plants, causing circular, dark lesions with concentric rings and a target-like appearance.","Circular, dark lesions with concentric rings on tomato leaves.
Lesions may enlarge and have a target-like appearance.
Infected leaves may develop yellow halos surrounding the lesions.
Severely affected leaves may wither, curl, or drop prematurely.","Target spot is caused by the fungus Corynespora cassiicola. The disease development is favored by warm and humid conditions. The fungus can survive in infected plant debris and can be spread by rain splash or wind-dispersed spores. Infection occurs through natural openings or wounds on the tomato plant.

Managing target spot in tomatoes involves implementing cultural practices such as crop rotation, sanitation, and proper plant spacing. Fungicide applications may be necessary, especially during periods of high disease pressure. Regular pruning of affected plant parts and removal of infected debris can help prevent disease spread."
Tomato_Tomato_Yellow_Leaf_Curl_Virus,"Tomato Yellow Leaf Curl Virus (TYLCV) is a viral disease that affects tomato plants. It is caused by a group of viruses belonging to the genus Begomovirus. TYLCV can cause severe damage to tomato plants, leading to stunted growth, yellowing of leaves, and reduced fruit production.

","Yellowing and upward curling of tomato leaves.
Leaf curling may be accompanied by a reduction in leaf size.
Infected plants may exhibit stunted growth and reduced vigor.
Fruits may show uneven ripening and reduced quality.","Tomato Yellow Leaf Curl Virus is primarily transmitted by the sweet potato whitefly (Bemisia tabaci) in a persistent manner. The virus can also be transmitted through infected plant material, grafting, or mechanical transmission by tools or hands. Once infected, the virus replicates in the phloem tissues of the plant, causing systemic symptoms.

Managing Tomato Yellow Leaf Curl Virus involves implementing cultural practices such as the use of reflective mulches, row covers, and the removal of infected plants to control the whitefly vector. Planting virus-resistant tomato varieties can also help mitigate the impact of TYLCV. In areas where the virus is prevalent, preventive insecticide applications may be necessary."
Tomato_Tomato_mosaic_virus,"Tomato mosaic virus (ToMV) is a viral disease that affects tomato plants. It is caused by the Tomato mosaic virus, a member of the Tobamovirus genus. ToMV can cause significant damage to tomato plants, leading to mosaic patterns on leaves, stunted growth, and reduced fruit quality.","Mosaic patterns on tomato leaves, characterized by light and dark green areas.
Leaves may appear mottled, distorted, or puckered.
Plants may exhibit stunted growth and reduced vigor.
Infected fruits may show irregular ripening and reduced quality.","Tomato mosaic virus is primarily transmitted through mechanical means, such as contaminated tools, hands, or plant sap. The virus can also be transmitted through infected seeds. Once inside the plant, the virus spreads systemically, affecting various tissues.

Managing Tomato mosaic virus involves implementing cultural practices such as strict sanitation measures, including disinfecting tools, and removing and destroying infected plant material. Planting certified virus-free seeds or resistant tomato varieties can help prevent infection. Control of aphids, which can transmit the virus, is also important.




"
Tomato_healthy,Represents a healthy tomato plant without any disease symptoms.,"Healthy tomato plants display vigorous growth with lush green foliage. The leaves are free from any discoloration, spots, or lesions. The plants produce abundant and well-formed tomatoes that are fully ripe and free from damage or disease. The tomatoes have a normal size, shape, and color. The stems and branches are strong and show no signs of wilting or decay.","The health of tomato plants is influenced by suitable growing conditions and the absence of diseases, pests, and nutrient deficiencies. Healthy tomato plants require proper sunlight, well-drained soil, and regular watering. Adequate spacing, good air circulation, and appropriate fertilization contribute to the overall health and productivity of tomato plants."
